RegionName,March2020,June2021
"United States",1701,1772
"New York, NY",2614,2432
"Los Angeles-Long Beach-Anaheim, CA",2401,2445
"Chicago, IL",1742,1730
"Dallas-Fort Worth, TX",1493,1591
"Philadelphia, PA",1644,1705
"Houston, TX",1378,1419
"Washington, DC",2066,2029
"Miami-Fort Lauderdale, FL",2052,2239
"Atlanta, GA",1521,1705
"Boston, MA",2620,2542
"San Francisco, CA",3090,2874
"Detroit, MI",1230,1349
"Riverside, CA",1957,2281
"Phoenix, AZ",1451,1687
"Seattle, WA",1934,1911
"Minneapolis-St Paul, MN",1539,1571
"San Diego, CA",2194,2355
"St. Louis, MO",1145,1218
"Tampa, FL",1516,1718
"Baltimore, MD",1558,1651
"Denver, CO",1691,1763
"Pittsburgh, PA",1196,1241
"Portland, OR",1548,1621
"Charlotte, NC",1481,1608
"Sacramento, CA",1804,2004
"San Antonio, TX",1206,1279
"Orlando, FL",1566,1680
"Cincinnati, OH",1314,1420
"Cleveland, OH",1267,1354
"Kansas City, MO",1162,1246
"Las Vegas, NV",1371,1572
"Columbus, OH",1237,1328
"Indianapolis, IN",1219,1350
"San Jose, CA",3030,2837
"Austin, TX",1485,1571
"Virginia Beach, VA",1312,1442
"Nashville, TN",1531,1622
"Providence, RI",1495,1678
"Milwaukee, WI",1176,1229
"Jacksonville, FL",1310,1465
"Memphis, TN",1245,1425
"Oklahoma City, OK",1092,1162
"Louisville-Jefferson County, KY",1085,1150
"Hartford, CT",1376,1483
"Richmond, VA",1261,1354
"New Orleans, LA",1213,1284
"Buffalo, NY",1102,1182
"Raleigh, NC",1401,1510
"Birmingham, AL",1198,1280
"Salt Lake City, UT",1367,1489
"Rochester, NY",1159,1293
"Grand Rapids, MI",1224,1326
"Tucson, AZ",1200,1377
"Urban Honolulu, HI",2306,2404
"Tulsa, OK",1048,1148
"Fresno, CA",1477,1697
"Worcester, MA",1439,1559
"Stamford, CT",2132,2327
"Albuquerque, NM",1138,1293
"Albany, NY",1325,1397
"Omaha, NE",1091,1163
"New Haven, CT",1429,1535
"Bakersfield, CA",1261,1421
"Knoxville, TN",1234,1398
"Greenville, SC",1191,1277
"Ventura, CA",2554,2806
"Allentown, PA",1409,1602
"El Paso, TX",1080,1177
"Baton Rouge, LA",1200,1260
"Dayton, OH",1001,1087
"Greensboro, NC",1164,1301
"Akron, OH",944,1034
"North Port-Sarasota-Bradenton, FL",1689,1903
"Little Rock, AR",896,975
"Stockton, CA",2000,2317
"Charleston, SC",1483,1583
"Colorado Springs, CO",1493,1662
"Winston-Salem, NC",1310,1468
"Wichita, KS",815,869
"Springfield, MA",1482,1580
"Fort Myers, FL",1616,1784
"Boise City, ID",1363,1644
"Toledo, OH",965,1068
"Madison, WI",1306,1366
"Lakeland, FL",1410,1570
"Ogden, UT",1296,1456
"Daytona Beach, FL",1372,1526
"Des Moines, IA",1085,1129
"Jackson, MS",1200,1273
"Youngstown, OH",696,770
"Augusta, GA",1064,1183
"Scranton, PA",868,963
"Harrisburg, PA",1093,1189
"Melbourne, FL",1447,1612
"Spokane, WA",1172,1376
"Provo, UT",1290,1447
"Durham, NC",1422,1489
"Port St. Lucie, FL",1641,1886
"Fort Collins, CO",1519,1599
"Boulder, CO",1892,2015
"Gainesville, GA",1328,1528
